id,type,turkish,english
969,noun,pirinç,uncooked rice
970,noun,mart,march
971,noun,koni,cone
972,noun,ağız,mouth
973,noun,mayıs,may
974,adverb,yakında,soon
975,noun,öğle,noon
976,noun,mide,stomach
977,noun,gemi,ship
978,noun,bardak,glass
979,noun,kırmızı,red
980,noun,salata,salad
981,phrase,ne oldu?,what happened?
982,verb,büyümek,to grow
983,adverb,hazır,ready
984,noun,klozet,toilet
985,noun,renk,color
986,adjective,renkli,colorful
987,adjective,renksiz,colorless
988,noun,bilim,science
989,adjective,şoför,driver
990,adjective,verb,fiil
991,noun,bin,thousand
992,noun,ekmek,bread
993,noun,kol,arm
994,noun,kendi,self (own)
995,adjective,küçük,small
996,adjective,tembel,lazy
997,noun,çiçek,flower
998,noun,kasım,november
999,noun,gökyüzü,sky
1000,adverb,daima,always
1001,verb,uzak,far
1002,phrase,aferin,well done
1003,noun,gamze,dimple
1004,adverb,...dilim,slice of...
1005,noun,sol,left
1006,noun,fasulye,bean
1007,phrase,kaç?,how many?
1008,noun,pul,stamp
1009,noun,beşik,crib
1010,noun,şarkı,song
1011,noun,beyaz,white
1012,noun,tükenmez kalem,pen
1013,noun,pencere,window
1014,adverb,başlangıcı,beginning of
1015,noun,inek,cow
1016,verb,değişmek,to change
1017,noun,bahçe,garden
1018,noun,yıl,year
1019,noun,yastık,pillow
1020,adjective,yumuşak,soft
1021,noun,yaz,summer
1022,noun,maydonoz,parsley
1023,noun,altmış,sixty
1024,noun,kum,sand
1025,noun,seksen,eighty
1026,adverb,genellikle,generally
1027,verb,dinlenmek,to rest
1028,noun,ananas,pineapple
1029,noun,ayı,bear
1030,noun,etek,skirt
1031,noun,yeşil,green
1032,noun,siyah,black
1033,adverb,asla,never
1034,noun,tencere,pot
1035,adjective,yavaş,slow
1036,noun,ilaç,medicine
1037,noun,buğday,wheat
1038,noun,buzdolabı,fridge
1039,noun,kalp,heart
1040,noun,gözlük,glasses
1041,noun,müsaade,permission
1042,noun,aralık,december
1043,noun,katı,solid
1044,noun,dikdörtgen,rectangle
1045,adverb,diğer,other
1046,noun,düğme,button
1047,noun,ekim,october
1048,noun,biyoloji,biology
1049,noun,diş fırçası,tooth brush
1050,noun,maaş,salary (wage)
1051,noun,ıspanak,spinach
1052,verb,çizmek,to draw
1053,noun,pazar,sunday
1054,noun,meşrubat,soda
1055,noun,oyuncak,toy
1056,adjective,kolay,easy
1057,noun,çarşı,shop (market)
1058,adjective,satıcı,salesperson
1059,noun,kış,winter
1060,noun,tırnak,nail
1061,noun,marul,lettuce
1062,noun,havlu,towel
1063,noun,kar,profit
1064,noun,timsah,alligator
1065,noun,pasta,cake
1066,adverb,son(u),end (of)
1067,noun,kaban,coat
1068,noun,harf,letter (abc)
1069,adverb,hâlâ...,still...
1070,noun,sıvı,liquid
1071,adjective,içinde,in
1072,noun,cuma,friday
1073,noun,cadde,street
1074,noun,şeftal,peach
1075,noun,parmak,finger
1076,noun,hiç kimse,nobody
1077,adjective,dar,narrow
1078,noun,okul,school
1079,noun,dolap,cabinet
1080,noun,portakal,orange
1081,noun,çorap,sock
1082,noun,makas,scissor
1083,noun,biber,pepper
1084,noun,et,meat
1085,noun,kutu,box
1086,noun,çöp,garbage
1087,noun,dükkan,store
1089,noun,pembe,pink
1090,verb,terlemek,to sweat
1091,noun,kiraz,cherry
1092,noun,ayakkabı,shoe
1093,noun,kulak,ear
1094,adjective,yakın,close (near)
1095,adjective,kötü,bad
1096,noun,ampül,light bulb
1097,noun,kelime,word
1098,adjective,meşgul,busy
1099,noun,dirsek,elbow
1100,noun,diz,knee
1101,verb,saklamak,to hide
1102,adjective,ucuz,cheap
1103,noun,köpek,dog
1104,noun,kere,times (math)
1105,adjective,yazar,author
1106,adjective,sevimli,cute
1107,noun,çakmak,lighter
1108,noun,şömine,fire place
1109,noun,dikkat,attention
1110,adjective,dikkatli,careful
1111,adjective,dikkatsiz,careless
1112,adjective,rahat,comfortable
1113,noun,zeytin,olive
1114,noun,göz,eye
1115,noun,reçel,jam
1116,noun,hayat,life
1117,adverb,hiç,ever
1118,noun,kravat,tie
1119,adjective,büyük,big (older)
1120,adjective,çiğ,raw
1121,adjective,düz,straight
1122,noun,uçak,plane
1123,noun,öykü,literature (story)
1124,noun,ağrı,pain (hurt)
1125,adjective,yüksek,high
1126,noun,ay,month
1127,noun,akıl,wisdom
1128,adjective,akıllı,wise
1129,adjective,akılsız,foolish
1130,noun,mum,candle
1131,noun,kot,jean
1132,noun,doksan,ninety
1133,noun,kedi,cat
1134,noun,halı,rug
1135,noun,şans,luck
1136,noun,cilt,skin
1137,noun,mektup,letter (mail)
1138,noun,televizyon,television
1139,verb,ağlamak,to cry
1140,verb,hasta olmak,to be sick
1141,verb,sürpriz yapmak,to surprise
1142,adjective,bekar,single
1143,verb,konuşmak,to talk
1144,verb,kızmak,to be angry
1145,verb,çiğnemek,to chew
1146,noun,duvar,wall
1147,verb,kesmek,to cut
1148,verb,etmek,to perform
1149,verb,kırılmak,to be broken
1150,verb,itmek,to push
1151,noun,matematik,math
1152,noun,tarih,history
1153,verb,sarılmak,to hug
1154,verb,dokunmak,to touch
1155,verb,ziyâret etmak,to visit
1156,verb,süpürmek,to sweep
1157,verb,emeklemek,to crawl
1158,noun,senaryo,screenplay
1159,verb,vermek,to give
1160,adjective,öğretmen,teacher
1161,noun,masa,table
1162,verb,olmak,to be
1163,adverb,maalesef,unfortunately
1164,verb,sormak,to ask
1165,verb,pratik yapmak,to practice
1166,adverb,fazla,much
1167,verb,boyamak,to paint
1168,adjective,neşeli,cheerful (joyful)
1169,adjective,neşesiz,joyless
1170,noun,diş macunu,tooth paste
1171,noun,üçgen,triangle
1172,noun,meyve suyu,juice
1173,verb,bulmak,to find
1174,noun,küre,sphere
1175,adjective,yarım,half
1176,adjective,buçuk,half of
1177,adverb,aşağı,down
1178,noun,göl,lake
1179,adjective,yalnız,alone (lonely)
1180,noun,haziran,june
1181,noun,bot,boot
1182,adjective,çabuk,quick
1183,noun,telefon,telephone
1184,noun,ayna,mirror
1185,noun,bornoz,bathrobe
1186,noun,muz,banana
1187,noun,kir,dirt
1188,noun,makarna,pasta
1189,noun,otuz,thirty
